gvkey,iid,efffrom,effthru,itemvalue,conml
001010,01,1986-12-14 00:00:00.000000,2004-04-27 00:00:00.000000,4165A,ACF Industries Holding Corp
001010,01,2004-04-28 00:00:00.000000,2007-09-12 00:00:00.000000,0536B,ACF Industries Holding Corp
001010,01,2007-09-13 00:00:00.000000,2900-01-01 00:00:00.000000,4165A,ACF Industries Holding Corp
001013,01,1986-12-14 00:00:00.000000,2005-05-09 00:00:00.000000,ADCT,ADC Telecommunications Inc.
001013,01,2005-05-10 00:00:00.000000,2005-06-07 00:00:00.000000,ADCTD,ADC Telecommunications Inc.
001013,01,2005-06-08 00:00:00.000000,2900-01-01 00:00:00.000000,ADCT,ADC Telecommunications Inc.
001040,01,1986-12-14 00:00:00.000000,1989-12-28 00:00:00.000000,MNST1,AMF Inc
001040,01,1989-12-29 00:00:00.000000,1991-01-23 00:00:00.000000,AMF,AMF Inc
001040,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,AMF.2,AMF Inc
001043,01,1986-12-14 00:00:00.000000,1993-08-05 00:00:00.000000,AM,Multigraphics Inc
001043,01,1993-08-06 00:00:00.000000,1994-09-13 00:00:00.000000,3AAAN,Multigraphics Inc
001043,01,1994-09-14 00:00:00.000000,1997-06-01 00:00:00.000000,AM,Multigraphics Inc
001043,01,1997-06-02 00:00:00.000000,2004-09-23 00:00:00.000000,MTI,Multigraphics Inc
001043,01,2004-09-24 00:00:00.000000,2900-01-01 00:00:00.000000,MTI.3,Multigraphics Inc
001045,01,1986-12-14 00:00:00.000000,2012-01-04 00:00:00.000000,AMR,American Airlines Group Inc
001045,01,2012-01-05 00:00:00.000000,2900-01-01 00:00:00.000000,AAMRQ,American Airlines Group Inc
001045,04,2013-12-09 00:00:00.000000,2900-01-01 00:00:00.000000,AAL,American Airlines Group Inc
001057,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,8892A,ABEX Corp
001062,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,ASA,ASA Gold and Precious Metals Ltd
001075,01,1986-12-14 00:00:00.000000,1987-05-30 00:00:00.000000,AZP,Pinnacle West Capital Corp
001075,01,1987-05-31 00:00:00.000000,2900-01-01 00:00:00.000000,PNW,Pinnacle West Capital Corp
001078,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,ABT,Abbott Laboratories
001098,01,1986-12-14 00:00:00.000000,1998-06-04 00:00:00.000000,AMT,Acme-Cleveland Corp
001098,01,1998-06-05 00:00:00.000000,2008-12-31 00:00:00.000000,AMT.,Acme-Cleveland Corp
001098,01,2009-01-01 00:00:00.000000,2900-01-01 00:00:00.000000,AMT.1,Acme-Cleveland Corp
001133,01,1988-09-08 00:00:00.000000,1991-01-23 00:00:00.000000,ADL.,Admiral Corp
001133,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,ADL.1,Admiral Corp
001161,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,AMD,Advanced Micro Devices Inc
001164,01,1986-12-14 00:00:00.000000,1987-05-30 00:00:00.000000,ADCO,MCI Inc
001164,01,1987-05-31 00:00:00.000000,1987-06-29 00:00:00.000000,ADCOD,MCI Inc
001164,01,1987-06-30 00:00:00.000000,1989-08-16 00:00:00.000000,ADCO,MCI Inc
001164,01,1989-08-17 00:00:00.000000,1989-09-13 00:00:00.000000,LDDAV,MCI Inc
001164,01,1989-09-14 00:00:00.000000,1993-10-21 00:00:00.000000,LDDSA,MCI Inc
001164,01,1993-10-22 00:00:00.000000,1995-05-25 00:00:00.000000,LDDS,MCI Inc
001164,01,1995-05-26 00:00:00.000000,2002-06-26 00:00:00.000000,WCOM,MCI Inc
001164,01,2002-06-27 00:00:00.000000,2002-07-22 00:00:00.000000,WCOME,MCI Inc
001164,01,2002-07-23 00:00:00.000000,2002-07-31 00:00:00.000000,WCOEQ,MCI Inc
001164,01,2002-08-01 00:00:00.000000,2003-07-20 00:00:00.000000,3WCOEQ,MCI Inc
001164,01,2003-07-21 00:00:00.000000,2900-01-01 00:00:00.000000,WCOEQ,MCI Inc
001177,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,AET,Aetna Inc.
001192,01,1987-04-30 00:00:00.000000,2003-09-28 00:00:00.000000,AGG,Aguirre Co
001192,01,2003-09-29 00:00:00.000000,2900-01-01 00:00:00.000000,AGG.2,Aguirre Co
001194,01,1986-12-14 00:00:00.000000,2001-10-14 00:00:00.000000,AHM,H.F. Ahmanson & Co
001194,01,2001-10-15 00:00:00.000000,2003-12-18 00:00:00.000000,AHM.,H.F. Ahmanson & Co
001194,01,2003-12-19 00:00:00.000000,2900-01-01 00:00:00.000000,AHM.1,H.F. Ahmanson & Co
001209,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,APD,Air Products and Chemicals Inc.
001215,01,1987-04-30 00:00:00.000000,1991-01-23 00:00:00.000000,AN.,Airco Inc
001215,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,AN.1,Airco Inc
001221,01,1987-04-30 00:00:00.000000,1991-01-23 00:00:00.000000,AXO.,Akzona
001221,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,AXO.2,Akzona
001230,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,ALK,Alaska Air Group Inc.
001239,01,1986-12-14 00:00:00.000000,2001-01-09 00:00:00.000000,ACV,Alberto-Culver Co
001239,01,2001-01-10 00:00:00.000000,2001-01-22 00:00:00.000000,ACV.B,Alberto-Culver Co
001239,01,2001-01-23 00:00:00.000000,2015-05-19 00:00:00.000000,ACV,Alberto-Culver Co
001239,01,2015-05-20 00:00:00.000000,2900-01-01 00:00:00.000000,ACV.1,Alberto-Culver Co
001240,01,1986-12-14 00:00:00.000000,2008-12-31 00:00:00.000000,ABS,Albertson's Inc.
001240,01,2009-01-01 00:00:00.000000,2014-07-23 00:00:00.000000,ABS..,Albertson's Inc.
001240,01,2014-07-24 00:00:00.000000,2900-01-01 00:00:00.000000,ABS.1,Albertson's Inc.
001243,01,1986-12-14 00:00:00.000000,2007-11-14 00:00:00.000000,AL,Alcan Inc.
001243,01,2007-11-15 00:00:00.000000,2007-11-15 00:00:00.000000,AL.Z,Alcan Inc.
001243,01,2007-11-16 00:00:00.000000,2008-12-31 00:00:00.000000,AL,Alcan Inc.
001243,01,2009-01-01 00:00:00.000000,2011-03-24 00:00:00.000000,AL.,Alcan Inc.
001243,01,2011-03-25 00:00:00.000000,2900-01-01 00:00:00.000000,AL.1,Alcan Inc.
001246,01,1986-12-14 00:00:00.000000,1997-01-26 00:00:00.000000,ASN,IKON Office Solutions Inc.
001246,01,1997-01-27 00:00:00.000000,2900-01-01 00:00:00.000000,IKN,IKON Office Solutions Inc.
001253,01,1986-12-14 00:00:00.000000,2002-03-21 00:00:00.000000,AAL,Alexander & Alexander
001253,01,2002-03-22 00:00:00.000000,2011-07-31 00:00:00.000000,AAL.,Alexander & Alexander
001253,01,2011-08-01 00:00:00.000000,2900-01-01 00:00:00.000000,AAL.1,Alexander & Alexander
001279,01,1986-12-14 00:00:00.000000,1997-09-30 00:00:00.000000,AYP,Allegheny Energy Inc.
001279,01,1997-10-01 00:00:00.000000,2900-01-01 00:00:00.000000,AYE,Allegheny Energy Inc.
001300,01,1986-12-14 00:00:00.000000,1999-12-01 00:00:00.000000,ALD,Honeywell International Inc
001300,01,1999-12-02 00:00:00.000000,2900-01-01 00:00:00.000000,HON,Honeywell International Inc
001301,01,1986-12-14 00:00:00.000000,1987-01-30 00:00:00.000000,ALS,Allied Stores
001301,01,1987-01-31 00:00:00.000000,1988-08-03 00:00:00.000000,CMP.1,Allied Stores
001301,01,1988-08-04 00:00:00.000000,1991-01-23 00:00:00.000000,CMAFC1,Allied Stores
001301,01,1991-01-24 00:00:00.000000,2900-01-01 00:00:00.000000,9174A,Allied Stores
001302,01,1986-12-14 00:00:00.000000,1987-07-30 00:00:00.000000,ASU,Allied Supermarkets
001302,01,1987-07-31 00:00:00.000000,1988-02-27 00:00:00.000000,VON,Allied Supermarkets
001302,01,1988-02-28 00:00:00.000000,1991-01-23 00:00:00.000000,ASU,Allied Supermarkets
001302,01,1991-01-24 00:00:00.000000,2900-01-01 00:00:00.000000,ASU.1,Allied Supermarkets
001308,02,1986-12-14 00:00:00.000000,1987-08-30 00:00:00.000000,AH,Allis-Chalmers Energy Inc
001308,02,1987-08-31 00:00:00.000000,1989-07-19 00:00:00.000000,QAH,Allis-Chalmers Energy Inc
001308,02,1989-07-20 00:00:00.000000,1991-01-23 00:00:00.000000,6035B,Allis-Chalmers Energy Inc
001308,02,1991-01-24 00:00:00.000000,2004-06-13 00:00:00.000000,3ACLM,Allis-Chalmers Energy Inc
001308,02,2004-06-14 00:00:00.000000,2004-09-12 00:00:00.000000,3ALHS,Allis-Chalmers Energy Inc
001308,02,2004-09-13 00:00:00.000000,2900-01-01 00:00:00.000000,ALY,Allis-Chalmers Energy Inc
001318,01,1986-12-14 00:00:00.000000,2008-12-31 00:00:00.000000,AT,ALLTEL Corp
