,gvkey,iid,gvkeyx,from,thru,conml,from_yearquarter,thru_yearquarter,2008-Quarter1,2008-Quarter2,2008-Quarter3,2008-Quarter4,2009-Quarter1,2009-Quarter2,2009-Quarter3,2009-Quarter4,2010-Quarter1,2010-Quarter2,2010-Quarter3,2010-Quarter4,2011-Quarter1,2011-Quarter2,2011-Quarter3,2011-Quarter4,2012-Quarter1,2012-Quarter2,2012-Quarter3,2012-Quarter4,2013-Quarter1,2013-Quarter2,2013-Quarter3,2013-Quarter4,2014-Quarter1,2014-Quarter2,2014-Quarter3,2014-Quarter4,2015-Quarter1,2015-Quarter2,2015-Quarter3,2015-Quarter4,2016-Quarter1,2016-Quarter2,2016-Quarter3,2016-Quarter4,2017-Quarter1,2017-Quarter2,2017-Quarter3,2017-Quarter4,2018-Quarter1,2018-Quarter2,2018-Quarter3,2018-Quarter4,2019-Quarter1,2019-Quarter2,2019-Quarter3
0,1045,4,3,2015-03-23 00:00:00.000000,,American Airlines Group Inc,2015-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc,American Airlines Group Inc
1,1177,1,3,1976-06-30 00:00:00.000000,2018-12-02 00:00:00.000000,Aetna Inc.,1976-Quarter3,2018-Quarter4,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,Aetna Inc.,0,0,0
2,1209,1,3,1985-04-30 00:00:00.000000,,Air Products and Chemicals Inc.,1985-Quarter3,2019-Quarter3,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.,Air Products and Chemicals Inc.
3,1161,1,3,1984-06-30 00:00:00.000000,2013-09-22 00:00:00.000000,Advanced Micro Devices Inc,1984-Quarter3,2013-Quarter3,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1161,1,3,2017-03-20 00:00:00.000000,,Advanced Micro Devices Inc,2017-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Advanced Micro Devices Inc
5,1230,1,3,2016-05-13 00:00:00.000000,,Alaska Air Group Inc.,2016-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.,Alaska Air Group Inc.
6,1279,1,3,2000-12-11 00:00:00.000000,2011-02-27 00:00:00.000000,Allegheny Energy Inc.,2001-Quarter1,2011-Quarter1,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,Allegheny Energy Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1300,1,3,1964-03-31 00:00:00.000000,,Honeywell International Inc,1964-Quarter2,2019-Quarter3,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc,Honeywell International Inc
8,1327,1,3,2015-03-12 00:00:00.000000,,Skyworks Solutions Inc,2015-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc,Skyworks Solutions Inc
9,1356,1,3,1964-03-31 00:00:00.000000,2016-10-31 00:00:00.000000,Alcoa Inc,1964-Quarter2,2016-Quarter4,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,Alcoa Inc,0,0,0,0,0,0,0,0,0,0,0
