gvkey,iid,gvkeyx,from,thru
001045,04,000003,2015-03-23 00:00:00.000000,
001177,01,000003,1976-06-30 00:00:00.000000,2018-12-02 00:00:00.000000
001209,01,000003,1985-04-30 00:00:00.000000,
001161,01,000003,1984-06-30 00:00:00.000000,2013-09-22 00:00:00.000000
001161,01,000003,2017-03-20 00:00:00.000000,
001230,01,000003,2016-05-13 00:00:00.000000,
001279,01,000003,2000-12-11 00:00:00.000000,2011-02-27 00:00:00.000000
001300,01,000003,1964-03-31 00:00:00.000000,
001327,01,000003,2015-03-12 00:00:00.000000,
001356,01,000003,1964-03-31 00:00:00.000000,2016-10-31 00:00:00.000000
001380,01,000003,1984-05-31 00:00:00.000000,
001440,01,000003,1964-03-31 00:00:00.000000,
001447,01,000003,1976-06-30 00:00:00.000000,
001408,01,000003,1964-03-31 00:00:00.000000,2014-04-30 00:00:00.000000
001478,01,000003,1964-03-31 00:00:00.000000,2009-10-15 00:00:00.000000
001487,01,000003,1980-03-31 00:00:00.000000,
001449,01,000003,1999-05-28 00:00:00.000000,
001598,01,000003,2013-09-23 00:00:00.000000,
001602,01,000003,1992-01-02 00:00:00.000000,
001567,02,000003,2002-05-13 00:00:00.000000,2008-06-05 00:00:00.000000
001632,01,000003,1999-10-12 00:00:00.000000,
001678,01,000003,1997-07-28 00:00:00.000000,
001690,01,000003,1982-11-30 00:00:00.000000,
001661,01,000003,2000-10-18 00:00:00.000000,2015-03-22 00:00:00.000000
001663,01,000003,1976-06-30 00:00:00.000000,2008-11-18 00:00:00.000000
001722,01,000003,1981-07-29 00:00:00.000000,
001794,01,000003,1989-08-31 00:00:00.000000,2008-11-13 00:00:00.000000
002044,01,000003,1975-06-30 00:00:00.000000,2018-01-02 00:00:00.000000
001704,01,000003,1995-03-16 00:00:00.000000,
001837,01,000003,2011-12-13 00:00:00.000000,2016-06-30 00:00:00.000000
001878,01,000003,1989-12-01 00:00:00.000000,
001976,01,000003,1964-03-31 00:00:00.000000,2017-07-04 00:00:00.000000
001976,01,000003,2017-07-06 00:00:00.000000,2017-07-06 00:00:00.000000
001988,01,000003,1984-10-31 00:00:00.000000,
001995,01,000003,1964-03-31 00:00:00.000000,2012-03-13 00:00:00.000000
001075,01,000003,1999-10-04 00:00:00.000000,
001078,01,000003,1964-03-31 00:00:00.000000,
002086,01,000003,1972-09-30 00:00:00.000000,
002176,02,000003,2010-02-16 00:00:00.000000,
002184,01,000003,1999-06-30 00:00:00.000000,
001891,01,000003,1981-03-31 00:00:00.000000,
001913,01,000003,1987-12-31 00:00:00.000000,
001920,01,000003,1967-06-30 00:00:00.000000,2015-03-22 00:00:00.000000
002019,01,000003,1995-03-31 00:00:00.000000,
002111,01,000003,1972-09-30 00:00:00.000000,
002136,01,000003,1983-11-30 00:00:00.000000,
002154,01,000003,1978-09-30 00:00:00.000000,2014-12-04 00:00:00.000000
002154,01,000003,2019-06-07 00:00:00.000000,2019-06-11 00:00:00.000000
002255,01,000003,1976-03-31 00:00:00.000000,2010-03-14 00:00:00.000000
002269,01,000003,1986-11-30 00:00:00.000000,
002270,01,000003,2007-01-04 00:00:00.000000,2009-12-22 00:00:00.000000
002270,01,000003,2012-07-31 00:00:00.000000,2016-03-29 00:00:00.000000
002312,01,000003,2000-12-05 00:00:00.000000,
002403,01,000003,1964-03-31 00:00:00.000000,
002490,01,000003,1964-03-31 00:00:00.000000,2010-02-15 00:00:00.000000
002285,01,000003,1964-03-31 00:00:00.000000,
002290,01,000003,1970-06-30 00:00:00.000000,2008-06-22 00:00:00.000000
002435,01,000003,1982-10-31 00:00:00.000000,
002444,01,000003,1973-03-31 00:00:00.000000,2008-06-22 00:00:00.000000
002547,01,000003,1976-06-30 00:00:00.000000,
002663,01,000003,1964-03-31 00:00:00.000000,
002710,02,000003,2005-07-05 00:00:00.000000,
002817,01,000003,1964-03-31 00:00:00.000000,
002845,01,000003,1977-03-31 00:00:00.000000,2009-08-18 00:00:00.000000
002504,01,000003,1964-03-31 00:00:00.000000,2008-11-10 00:00:00.000000
002574,01,000003,1967-09-30 00:00:00.000000,
002751,01,000003,1997-05-27 00:00:00.000000,
002783,01,000003,1989-08-31 00:00:00.000000,2012-07-01 00:00:00.000000
